brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
0,8,2017,1,15735,4,150,55.4,1.4,12500
0,13,2016,0,36203,0,20,64.2,2.0,16500
0,8,2016,1,29946,4,30,55.4,1.4,11000
0,11,2017,0,25952,0,145,67.3,2.0,16800
0,10,2019,1,1998,4,145,49.6,1.0,17300
0,8,2016,0,32260,4,30,58.9,1.4,13900
0,13,2016,0,76788,0,30,61.4,2.0,13250
0,11,2016,1,75185,0,20,70.6,2.0,11750
0,10,2015,1,46112,4,20,60.1,1.4,10200
0,8,2016,1,22451,4,30,55.4,1.4,12000
0,10,2017,1,28955,4,145,58.9,1.4,16100
0,13,2016,0,52198,0,125,57.6,2.0,16500
0,51,2016,1,44915,0,145,52.3,2.0,17000
0,10,2017,1,21695,4,30,58.9,1.4,16400
0,13,2015,1,47348,0,30,61.4,2.0,15400
0,10,2017,0,26156,4,145,58.9,1.4,14500
0,51,2016,0,28396,0,145,53.3,2.0,15700
0,10,2014,0,30516,4,30,56.5,1.4,13900
0,52,2016,0,37652,0,200,47.1,2.0,19000
0,51,2014,1,34110,4,145,47.9,1.4,17000
0,12,2017,0,37100,0,145,67.3,2.0,17300
0,52,2016,0,23714,0,200,47.1,2.0,20200
0,12,2017,0,21649,0,145,58.9,3.0,22500
0,13,2015,0,62748,0,150,53.3,3.0,17500
0,52,2016,0,23789,0,200,47.1,2.0,20000
0,11,2017,0,17418,0,145,62.8,2.0,18500
0,12,2017,0,33300,0,145,61.4,2.0,19500
0,8,2018,1,10793,4,145,56.5,1.4,15800
0,11,2018,0,25138,0,145,70.6,2.0,17200
0,13,2015,1,61176,0,30,62.8,2.0,14000
0,8,2015,0,54754,0,0,76.3,1.6,9500
0,51,2017,1,21369,4,125,51.4,1.4,16500
0,51,2014,0,39190,0,205,47.9,2.0,15000
0,51,2017,0,47482,4,150,47.9,1.4,16000
0,51,2016,0,40501,0,150,51.4,2.0,16900
0,51,2014,0,43195,0,200,47.9,2.0,12300
0,8,2017,1,31447,4,145,67.3,1.0,10800
0,13,2016,0,34030,0,125,58.9,2.0,19400
0,11,2017,1,29063,0,145,70.6,2.0,16000
0,10,2017,1,29545,0,145,65.7,2.0,17100
0,10,2015,1,75619,0,20,68.9,2.0,11300
0,51,2016,0,39603,0,160,50.4,2.0,17200
0,51,2017,0,42908,0,145,51.4,2.0,20300
0,12,2014,0,83872,0,125,58.9,2.0,13200
0,51,2016,0,58750,4,145,47.9,1.4,15200
0,10,2019,1,2029,4,145,49.6,1.0,15700
0,13,2018,0,22958,4,145,50.4,1.8,16600
0,11,2017,0,32097,0,145,72.4,2.0,14400
0,12,2017,0,13057,4,145,53.3,2.0,20200
0,65,2017,0,20278,4,145,38.7,3.0,23700
0,11,2016,1,52561,0,0,74.3,2.0,12750
0,13,2015,0,31604,0,20,67.3,2.0,13000
0,51,2016,1,32011,4,145,49.6,1.4,15900
0,51,2016,1,39134,0,30,60.1,2.0,15000
0,52,2015,0,89483,0,205,47.1,2.0,14700
0,10,2015,0,56291,4,200,42.8,1.8,15000
0,13,2016,0,47767,0,20,61.4,2.0,16000
0,8,2014,1,34315,4,125,53.3,1.4,11000
0,10,2016,1,66369,0,0,83.1,1.6,10200
0,13,2016,1,34110,0,30,61.4,2.0,18500
0,8,2013,1,76269,0,0,74.3,1.6,7000
0,10,2016,1,37840,0,20,70.6,1.6,10600
0,10,2017,1,26249,0,30,67.3,1.6,16000
0,51,2017,1,44898,0,125,57.7,2.0,15000
0,51,2017,1,67161,4,150,51.4,1.4,14000
0,10,2018,1,17992,4,150,54.3,1.5,18950
0,11,2016,1,97440,0,20,70.6,2.0,10200
0,8,2017,1,19268,4,150,67.3,1.0,11700
0,10,2013,0,51441,4,125,50.4,1.8,11500
0,8,2016,1,18181,4,0,67.3,1.0,10800
0,10,2016,1,19494,0,30,67.3,2.0,12500
0,13,2016,1,32808,0,30,61.4,2.0,16600
0,10,2017,1,25965,0,145,65.7,2.0,13100
0,10,2016,1,88215,0,20,68.9,2.0,8300
0,10,2019,1,5704,4,145,49.6,1.0,16000
0,11,2017,1,10959,4,145,51.4,1.4,16900
0,52,2016,0,30201,0,200,47.1,2.0,19600
0,51,2017,0,19319,4,145,40.4,2.0,21800
0,13,2017,1,22582,0,145,61.4,2.0,16200
0,12,2017,1,20052,4,145,49.6,2.0,18700
0,51,2016,1,16666,0,30,60.1,2.0,16100
0,10,2016,1,25626,0,0,74.3,1.6,11300
0,10,2016,1,10460,4,20,60.1,1.4,14100
0,13,2016,0,43307,0,125,57.6,2.0,16600
0,8,2017,1,29327,4,30,55.4,1.4,11300
0,51,2017,1,36714,4,125,51.4,1.4,15600
0,8,2014,1,28324,4,125,53.3,1.4,10000
0,8,2016,1,12100,4,30,56.5,1.4,14500
0,51,2017,1,18001,0,145,62.8,2.0,16100
0,8,2016,1,28760,4,30,55.4,1.4,10600
0,10,2019,3,4000,4,145,44.1,1.5,25499
0,50,2019,3,7897,0,145,47.9,2.0,25499
0,13,2016,0,24744,0,125,56.5,3.0,15500
0,51,2015,0,30075,0,160,51.4,2.0,16200
0,8,2017,1,12577,4,30,58.9,1.4,14000
0,13,2016,0,24421,0,30,61.4,2.0,17300
0,8,2016,1,15567,0,0,76.3,1.6,10600
0,11,2018,1,15207,4,145,51.4,1.4,17500
0,11,2017,1,14864,4,145,52.3,1.4,15000
0,11,2019,3,9000,4,145,38.7,2.0,25499
0,11,2019,1,5000,4,145,38.7,2.0,25000
0,50,2019,3,4264,4,145,33.2,2.0,31000
0,51,2019,1,4000,0,145,42.8,2.0,28000
0,51,2019,1,4000,4,145,42.2,1.5,28000
0,50,2019,1,2721,0,145,49.6,1.6,21499
0,50,2019,3,4000,4,145,42.2,1.5,26000
0,52,2016,3,49649,0,235,42.2,3.0,30000
0,11,2017,1,14068,4,145,51.4,1.4,17000
0,11,2017,1,23092,4,145,52.3,1.4,14500
0,51,2017,0,30682,0,160,50.4,2.0,17500
0,8,2016,1,18272,4,0,67.3,1.0,10500
0,50,2017,0,23714,0,145,68.9,1.6,14800
0,13,2016,0,71311,0,30,61.4,2.0,12000
0,13,2018,0,29477,0,145,61.4,2.0,22000
0,52,2016,0,60551,0,200,47.1,2.0,17800
0,13,2017,0,42071,0,30,61.4,2.0,19800
0,14,2014,0,55774,0,235,44.8,3.0,19500
0,8,2016,1,36462,0,0,76.3,1.6,9800
0,10,2016,1,25376,4,30,57.6,1.4,15500
0,11,2017,0,39388,0,145,67.3,2.0,16800
0,10,2017,1,64207,0,20,67.3,2.0,11500
0,8,2017,1,49221,4,145,55.4,1.4,12100
0,8,2017,1,27179,0,0,76.3,1.6,12700
0,11,2014,1,31376,0,125,58.9,2.0,11700
0,12,2015,0,62668,0,145,53.3,2.0,11500
0,11,2017,1,10001,4,145,51.4,1.4,17400
0,13,2016,0,52544,0,30,61.4,2.0,16000
0,11,2016,1,63097,4,125,49.6,2.0,13100
0,13,2016,1,72967,0,30,61.4,2.0,14700
0,12,2017,0,32771,0,145,70.6,2.0,21100
0,51,2018,0,13303,4,145,40.4,2.0,24400
0,10,2019,1,2752,4,145,44.8,1.5,18750
0,51,2016,1,23307,0,160,49.6,2.0,16500
0,8,2017,1,34551,4,150,67.3,1.0,11000
0,10,2017,1,25457,0,150,68.9,1.6,13400
0,50,2018,1,12167,4,150,50.4,1.4,20000
0,13,2015,0,23237,0,20,67.3,2.0,15400
0,51,2016,0,11863,0,160,50.4,2.0,15500
0,11,2017,1,21225,0,145,72.4,2.0,14800
0,13,2015,0,32083,0,30,61.4,2.0,17100
0,52,2017,0,17039,0,145,55.4,2.0,25750
0,11,2016,1,72026,0,0,74.3,2.0,11750
0,8,2017,1,34824,4,0,67.3,1.0,11200
0,8,2017,1,20351,4,30,55.4,1.4,12800
0,11,2017,0,58028,4,145,52.3,2.0,16000
0,12,2017,0,44783,0,145,62.8,2.0,20000
0,11,2014,1,60604,0,20,67.3,2.0,11950
0,11,2013,1,39998,0,30,65.7,2.0,9400
0,11,2017,0,20852,0,30,65.7,2.0,20000
0,13,2016,1,79728,0,30,64.2,2.0,13300
0,13,2017,0,29095,0,20,64.2,2.0,18500
0,10,2013,1,98940,0,0,74.3,1.6,8300
0,8,2016,1,22780,4,30,58.9,1.4,13500
0,12,2018,1,20832,4,150,47.1,2.0,19800
0,51,2016,0,29196,0,145,55.4,2.0,15400
0,11,2017,1,14392,4,145,53.3,1.4,13900
0,11,2018,1,20070,4,145,52.3,1.4,15600
0,13,2016,0,89334,0,30,62.8,3.0,16200
0,8,2016,1,21428,4,0,67.3,1.0,10600
0,11,2016,1,45485,0,20,70.6,2.0,14300
0,51,2016,1,32704,0,30,60.1,2.0,14700
0,51,2018,0,42209,4,145,42.2,2.0,19100
0,11,2017,1,17278,4,145,48.7,1.4,18100
0,8,2017,1,29515,4,0,67.3,1.0,11400
0,10,2014,1,43662,0,20,67.3,2.0,11600
0,11,2017,0,45225,0,145,62.8,2.0,17300
0,13,2017,1,45491,0,30,61.4,2.0,16400
0,52,2014,1,52267,4,235,37.7,2.0,17100
0,10,2014,3,40807,4,125,50.4,1.8,11498
0,51,2014,1,65959,0,160,49.6,2.0,11698
0,52,2014,3,47648,4,260,35.8,2.0,18998
0,52,2017,3,27948,4,145,40.9,2.0,25498
0,11,2013,1,31169,4,145,49.6,1.8,10498
0,11,2013,0,42011,4,145,47.1,2.0,9498
0,13,2015,3,56115,0,160,50.4,3.0,19998
0,13,2015,3,65835,0,125,61.4,2.0,16798
0,13,2017,3,63383,0,145,45.6,3.0,23998
0,52,2017,3,34011,4,145,34.0,3.0,36998
0,12,2014,3,52132,0,160,49.6,3.0,13998
0,11,2015,1,38787,0,145,55.4,2.0,15995
0,8,2017,1,34554,4,150,55.4,1.4,13495
0,52,2017,3,17502,4,145,40.4,2.0,30985
0,72,2019,0,3000,4,145,40.9,2.0,29485
0,13,2015,1,34646,0,30,61.4,2.0,16985
0,52,2017,3,18000,0,150,56.5,2.0,26485
0,51,2018,3,17085,4,150,47.9,1.4,23985
0,8,2017,1,48166,0,20,72.4,1.6,12485
0,52,2015,3,38421,0,205,47.1,2.0,22485
0,12,2015,1,46637,0,30,61.4,2.0,16498
0,10,2016,1,24468,0,0,74.3,1.6,11998
0,52,2017,0,29343,0,200,47.1,2.0,24985
0,10,2019,1,8449,0,145,51.4,1.6,17985
0,12,2017,1,34679,0,30,65.7,2.0,20485
0,10,2018,3,23860,4,145,60.1,1.0,16985
0,11,2018,0,21009,4,145,35.8,3.0,30985
0,13,2019,0,1881,0,145,47.9,2.0,29985
0,13,2019,3,688,0,145,47.9,2.0,27985
0,13,2019,0,1863,0,145,47.9,2.0,30985
0,53,2020,3,10,0,145,33.2,3.0,62985
0,60,2016,3,49050,4,325,29.4,4.0,44985
0,11,2019,3,1024,4,145,38.7,2.0,28985
0,11,2019,3,448,4,145,39.8,2.0,24985
0,11,2019,3,476,4,145,39.2,2.0,26985
0,14,2019,0,5201,0,145,38.7,3.0,39985
0,10,2019,3,2028,4,145,42.2,1.5,21985
0,13,2019,0,3241,0,145,39.2,3.0,45485
0,52,2019,0,355,0,145,39.2,2.0,33985
0,12,2019,0,18,4,145,39.8,2.0,28985
0,10,2019,0,3122,4,145,41.5,1.5,29985
0,50,2019,1,824,4,145,40.9,1.5,28985
0,13,2019,3,2811,0,145,47.9,2.0,31985
0,13,2019,3,27,0,145,50.4,2.0,31985
0,11,2019,3,4254,4,145,38.2,2.0,29485
0,8,2019,3,2252,4,145,48.7,1.0,17985
0,50,2019,0,3422,0,145,47.9,1.6,20985
0,50,2019,0,37,0,145,47.9,1.6,23685
0,11,2019,3,7299,4,145,38.2,2.0,27985
0,50,2019,3,1414,4,145,40.9,1.5,27985
0,52,2019,0,5135,0,145,38.2,2.0,36985
0,52,2019,0,6024,0,145,38.2,2.0,37985
0,52,2020,3,10,4,145,32.1,2.0,37985
0,53,2019,0,10,0,145,33.2,3.0,49985
0,53,2019,0,10,0,145,33.2,3.0,59995
0,52,2020,3,10,4,145,30.7,2.0,47895
0,11,2020,3,10,4,145,42.2,2.0,31985
0,53,2015,0,47606,0,200,47.9,3.0,29985
0,8,2015,3,26625,4,30,57.6,1.4,12485
0,12,2018,0,5071,4,145,50.4,2.0,24985
0,12,2015,3,28011,4,260,34.9,3.0,21985
0,51,2019,0,10,0,145,47.1,2.0,34985
0,12,2019,0,10,0,145,51.4,2.0,29985
0,51,2019,0,10,0,145,47.1,2.0,34485
0,8,2019,1,10,4,145,49.6,1.0,19685
0,11,2019,0,10,0,145,53.3,2.0,34985
0,14,2019,3,10,0,145,38.2,3.0,43885
0,13,2019,0,2000,0,145,47.9,2.0,35895
0,50,2019,0,10,4,145,43.5,1.5,26985
0,13,2019,0,3510,0,145,36.2,3.0,46985
0,10,2019,0,10,4,145,44.8,1.5,23985
0,12,2019,0,10,4,145,39.8,2.0,28985
0,12,2019,0,1010,4,145,39.8,2.0,27985
0,13,2019,3,500,0,145,47.9,2.0,28985
0,11,2019,0,10,4,145,42.8,2.0,29985
0,10,2019,1,10,0,145,54.3,1.6,21995
0,12,2019,0,10,4,145,39.8,2.0,31985
0,12,2019,0,10,0,145,51.4,2.0,32485
0,10,2019,1,10,0,145,51.4,1.6,21285
0,53,2019,0,1510,0,145,33.2,3.0,56985
0,57,2019,3,10,4,145,30.1,2.5,43785
0,11,2016,3,29845,4,160,45.6,2.0,18498
0,10,2014,3,27355,4,160,42.8,1.8,14995
0,11,2016,1,20885,0,30,64.2,2.0,17998
0,10,2014,0,10534,4,30,56.5,1.2,10985
0,10,2016,1,25895,0,20,70.6,2.0,12995
0,8,2016,1,32867,4,0,67.3,1.0,11495
0,52,2015,3,42793,0,205,47.1,2.0,18295
0,13,2015,3,49039,0,160,50.4,3.0,18998
0,50,2017,1,22501,0,145,64.2,1.6,18485
0,15,2017,0,1420,0,145,50.4,3.0,38985
0,12,2019,0,10,4,145,40.4,2.0,29485
0,12,2017,3,26939,0,145,62.8,2.0,22998
0,15,2014,3,24786,0,205,47.9,3.0,18998
0,11,2017,1,18761,4,145,51.4,1.4,17698
0,12,2019,0,10,4,145,40.4,2.0,27995
0,51,2019,1,10,0,145,42.8,2.0,31985
0,11,2019,0,10,4,145,38.7,2.0,30995
0,10,2017,3,22295,4,30,56.5,1.4,18998
0,50,2017,1,18068,4,145,52.3,1.4,16995
0,10,2018,1,25000,4,150,42.2,1.5,19995
0,50,2017,1,23043,4,150,55.4,1.0,14495
0,12,2014,3,80902,0,125,60.1,2.0,12998
0,11,2019,0,10,0,145,50.4,2.0,32485
0,8,2019,1,10,4,145,48.7,1.0,20485
0,51,2019,0,10,0,145,47.1,2.0,34485
0,51,2016,1,26474,0,145,52.3,2.0,18698
0,52,2013,3,65458,0,235,44.1,3.0,15998
0,72,2018,1,34170,4,150,47.1,1.8,16498
0,52,2019,3,100,4,145,33.2,2.0,31998
0,51,2019,0,650,0,145,47.1,2.0,35985
0,52,2019,0,10,0,145,38.2,2.0,37985
0,52,2019,3,10,4,145,33.2,2.0,31998
0,11,2019,1,2928,4,145,41.5,2.0,18998
0,51,2018,1,7157,4,145,51.4,1.4,19485
0,51,2016,3,31600,0,160,50.4,2.0,19995
0,53,2016,3,46600,0,300,39.2,4.0,47995
0,10,2019,1,10,0,145,56.5,2.0,23485
0,12,2018,3,14078,4,145,45.6,2.0,23998
0,12,2015,1,13312,0,125,57.6,2.0,17998
0,13,2018,3,10,0,145,50.4,2.0,28985
0,60,2015,3,20982,4,325,29.4,4.0,46000
0,13,2018,3,15600,0,145,50.4,2.0,26995
0,13,2019,0,5429,0,145,47.9,2.0,33985
0,50,2019,0,2710,4,145,40.9,1.5,30985
0,53,2019,0,6423,0,145,33.2,3.0,52985
0,8,2017,1,11017,4,150,67.3,1.0,12698
0,51,2017,1,16908,4,125,51.4,1.4,17298
0,11,2017,1,28801,4,125,49.6,2.0,16498
0,11,2017,1,23362,4,145,50.4,1.4,16798
0,52,2013,1,50025,4,235,37.7,2.0,15998
0,54,2018,3,8450,0,145,32.8,3.0,63985
0,13,2018,3,1790,0,145,50.4,2.0,27985
0,11,2018,3,10,4,145,53.3,1.4,19485
0,11,2018,1,10,4,145,52.3,1.4,20985
0,10,2018,0,6754,0,145,52.3,1.6,22285
0,51,2014,3,35423,0,200,47.9,2.0,14500
0,10,2017,3,16703,4,200,41.5,2.0,25000
0,51,2017,1,37203,4,125,51.4,1.4,15800
0,10,2013,3,44405,0,125,58.9,2.0,13500
0,51,2014,1,79389,0,165,50.4,2.0,12000
0,10,2015,3,61808,0,125,57.6,2.0,13800
0,8,2016,1,10491,4,0,67.3,1.0,11000
0,10,2018,1,19000,4,150,49.6,2.0,19995
0,8,2016,1,18900,4,0,67.3,1.0,11650
0,10,2014,1,50900,0,20,68.9,2.0,11850
0,13,2013,1,49000,0,325,29.7,2.0,12495
0,8,2015,1,23081,4,235,39.8,2.0,15995
0,53,2020,3,826,0,145,29.4,4.0,82995
0,11,2019,3,5987,4,145,38.2,2.0,25990
0,13,2019,3,2977,0,145,47.9,2.0,30995
0,52,2019,0,7573,0,145,39.2,2.0,34985
0,51,2019,1,3055,0,145,42.8,2.0,31995
0,11,2019,0,22,4,145,38.7,2.0,29985
0,11,2019,0,2250,0,145,51.4,2.0,28485
0,52,2016,3,20547,0,200,47.1,2.0,21498
0,52,2019,0,10,0,145,39.2,2.0,32895
0,12,2016,3,18828,4,260,35.8,3.0,22998
0,52,2019,3,28,4,145,32.1,2.0,35998
0,53,2016,0,38654,0,200,47.9,3.0,29985
0,10,2014,1,25764,4,200,40.4,2.0,16485
0,72,2016,1,28402,0,30,62.8,2.0,19485
0,8,2015,1,17152,4,30,56.5,1.4,13495
0,10,2016,1,29775,4,20,60.1,1.4,14995
0,52,2017,3,7801,4,145,34.0,3.0,39995
0,52,2015,3,60599,0,240,42.8,3.0,22990
0,8,2017,1,20670,4,30,57.6,1.4,12495
0,10,2019,0,2257,0,145,52.3,1.6,24985
0,10,2019,1,4039,0,145,51.4,1.6,24485
0,10,2016,1,21241,4,125,52.3,1.4,16485
0,51,2016,1,16945,0,160,49.6,2.0,20485
0,11,2018,0,18010,4,145,49.6,1.4,24985
0,11,2017,3,29653,0,145,62.8,2.0,19995
0,12,2014,3,75159,4,260,34.9,3.0,16000
0,51,2014,3,33842,0,200,47.9,2.0,14998
0,10,2015,1,42977,0,20,67.3,2.0,13995
0,11,2019,3,26,0,145,47.9,2.0,27990
0,8,2016,1,17454,4,0,67.3,1.0,11995
0,10,2018,1,17547,4,150,56.5,1.5,15995
0,10,2020,3,314,4,150,34.9,2.0,35995
0,8,2016,1,25010,4,30,58.9,1.4,13585
0,13,2019,3,3278,0,145,47.9,2.0,31985
0,14,2019,0,1285,0,145,39.2,3.0,32985
